#{"t_start": 1710787735.6762125, "env_id": "None"}
r,l,t
-2004.2,73,131.617218
-1502.0,61,131.691993
-700.9,44,131.817361
-1352.0,58,131.942091
-448.7,37,132.011101
-292.1,28,132.055324
-2106.4,77,132.131915
-5408.6,145,134.394534
-798.7,44,134.448166
-1048.7,49,134.521049
-2706.4,89,134.661681
-4158.6,120,134.757666
-1600.9,62,134.83551
-949.8,48,134.960448
-3556.4,106,135.125239
-2654.2,86,135.205524
-944.3,43,135.330014
-4707.5,130,135.561871
-749.8,44,135.63889
-8408.6,205,135.882781
-1706.4,69,135.957502
-2952.0,90,136.134129
-1599.8,61,136.22473
-1906.4,73,136.307107
-141.0,24,136.336133
-3152.0,94,136.545542
-1653.1,65,136.680681
-3857.5,113,136.845862
-391.0,29,136.907943
-2003.1,72,137.035665
-3005.3,94,137.149217
-4604.2,125,139.389128
-5758.6,152,139.554818
-603.1,44,139.631573
-1145.4,48,139.691492
-4608.6,129,139.944622
-496.5,36,139.981986
-950.9,49,140.046308
-745.4,40,140.116462
-9958.6,236,140.420529
-6607.5,168,140.691119
-1550.9,61,140.801641
-1307.5,62,140.873133
-2154.2,76,140.964644
-2208.6,81,141.099576
-4057.5,117,141.340498
-2858.6,94,141.492642
-6458.6,166,141.655777
-2707.5,90,141.747582
-4308.6,123,141.987896
-2406.4,83,142.085491
-4608.6,129,142.288277
-644.3,37,142.336329
-1303.1,58,144.514278
-647.6,40,144.559011
-1253.1,57,144.635207
-846.5,43,144.698468
-2905.3,92,144.897697
-2557.5,87,145.03634
-544.3,35,145.068569
-2253.1,77,145.144536
-7708.6,191,145.439836
-2250.9,75,145.540824
-6557.5,167,145.658347
-2753.1,87,145.791126
-3655.3,107,145.897828
-2606.4,87,145.999412
-1504.2,63,146.061823
-1398.7,56,146.110289
-3356.4,102,146.306905
-2605.3,86,146.437845
-7157.5,179,146.664278
-1250.9,55,146.777816
-3906.4,113,146.974548
-2855.3,91,147.113777
-6307.5,162,149.384079
-2355.3,81,149.481396
-694.3,38,149.529897
-1803.1,68,149.672749
-2553.1,83,149.880201
-6008.6,157,150.059015
-8258.6,202,150.306273
-4958.6,136,150.466518
-1295.4,51,150.519029
-3956.4,114,150.734735
-1150.9,53,150.841336
-1699.8,63,150.966803
-1603.1,64,151.07901
-3106.4,97,151.229554
-1102.0,53,151.278605
-894.3,42,151.32334
-4408.6,125,151.461206
-2156.4,78,151.595686
-903.1,50,151.69287
-7558.6,188,151.927651
-2506.4,85,152.092503
-2205.3,78,152.165302
-1803.1,68,152.240852
-3256.4,100,154.527554
-3506.4,105,154.65845
-1305.3,60,154.71523
-6958.6,176,154.907747
-1452.0,60,154.965994
-2357.5,83,155.093368
-1600.9,62,155.161927
-1705.3,68,155.272107
-2155.3,77,155.359101
-5358.6,144,155.549706
-2304.2,79,155.628049
-1045.4,46,155.691693
-395.4,33,155.766443
-5258.6,142,155.952063
-649.8,42,156.001215
-5908.6,155,156.301316
-3858.6,114,156.433627
-1753.1,67,156.62749
-389.9,28,156.70891
-1552.0,62,156.820383
-1098.7,50,156.91447
-1702.0,65,157.05048
-2556.4,86,157.175262
-3456.4,104,157.302134
-2856.4,92,159.596816
-9558.6,228,159.828473
-950.9,49,159.872666
-1404.2,61,159.956146
-1403.1,60,160.063955
-6308.6,163,160.327961
-1147.6,50,160.416078
-1504.2,63,160.526468
-2304.2,79,160.699547
-2156.4,78,160.84662
-1503.1,62,160.961164
-3357.5,103,161.110199
-1905.3,72,161.191508
-1452.0,60,161.294893
-344.3,31,161.339993
-2199.8,73,161.485796
-1754.2,68,161.626983
-1048.7,49,161.718276
-1252.0,56,161.797928
-2053.1,73,161.924685
-1552.0,62,162.070864
-3156.4,98,162.184661
-3606.4,107,162.29501
-1050.9,51,162.354173
-3907.5,114,162.479224
-1554.2,64,162.537253
-2855.3,91,164.797277
-1953.1,71,164.885853
-2056.4,76,164.961381
-1248.7,53,165.035336
-3806.4,111,165.185671
-3658.6,110,165.400459
-497.6,37,165.471657
